Word,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy,Word_IPA
plumed,6,1,53,3.97,0.020,0.301,0.010,0.301,0,2,2,0,0,#,4.449,4.449,#,#,#,#,#,#,#,1.850,6.162,1.800,6.353,3.550,0.240,0,#,#,2.045,#,#,#,#,#,#,#,"8,214","1,642.800","1,480","pl""umd",5,1,{plume}>ed>,"{pl""um}>d>",2,JJ,793.318,0.104,261.097,22,0.67,721.720,0.024,158.533,25,0.893, p l uː m d 
plummet,7,#,305,5.72,0.410,1.342,0.210,1.279,0,1,1,0,0,#,3.178,3.178,#,#,#,#,#,#,#,2.700,6.283,2.050,6.782,3.120,0.277,0,1.693,12.790,#,3.950,5.040,3.310,4,3,12,10,"5,465",910.833,950,"pl""V.m@t",6,2,{plummet},"{pl""V.m@t}",1,NN|VB,740.783,0.022,119.837,23,0.68,675.500,-0.2,175.173,28,1.0, p l ʌ m ɪ t 
plummeting,10,1,148,4.997,0.390,1.322,0.190,1.230,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.700,6.048,2.900,6.262,#,0.291,0,1.883,12.790,#,#,#,#,3,2,6,3,"21,056","2,339.556","2,696","pl""V.m@4.IN",8,3,{plummet}>ing>,"{pl""V.m@4}.>IN>",2,VB|NN,907.750,0.349,488.747,24,0.69,791.250,0.173,248.360,24,0.923, p l ʌ m ɪ ɾ ɪ ŋ 
plummy,6,#,11,2.398,0.040,0.477,0.020,0.477,0,4,4,0,0,#,5.512,5.512,#,#,#,#,#,#,#,2.050,6.326,1.750,6.399,#,0.195,0,#,#,#,#,#,#,#,#,1,1,"2,470",494.000,610,"pl""Vm.i",5,2,{plum}>y>,"{pl""Vm}.>i>",2,JJ,970.889,0.380,506.132,9,0.29,657.208,-0.267,115.512,24,0.857, p l ʌ m i 
plump,5,4,498,6.211,1.470,1.881,0.740,1.799,4,5,5,2,2,6.1,4.961,4.961,6.158,6.158,1,6.4,3,6.0,1.01,1.650,6.601,1.550,6.406,4.000,0.325,0,1.488,8.210,2.091,4.950,4.430,5.220,23,19,89,60,"2,866",716.500,656,"pl""Vmp",5,1,{plump},"{pl""Vmp}",1,JJ|VB,576.727,-0.610,126.808,33,1.0,642.423,-0.485,118.606,26,1.0, p l ʌ m p 
plumped,7,2,24,3.178,0.040,0.477,0.020,0.477,2,2,2,1,1,5.0,5.846,5.846,5.971,5.971,2,5.0,0,#,0.63,1.750,6.252,1.750,6.545,#,0.226,0,1.793,#,#,#,#,#,#,#,1,1,"9,014","1,502.333","1,681","pl""Vmpt",6,1,{plump}>ed>,"{pl""Vmp}>t>",2,VB|JJ,672.741,-0.346,151.484,27,0.82,708.000,-0.165,176.426,25,0.926, p l ʌ m p t 
plumpness,9,4,5,1.609,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.800,5.342,3.300,5.976,3.000,0.250,0,#,#,#,#,#,#,#,#,#,#,"11,215","1,401.875","1,772","pl""Vmp.n@s",8,2,{plump}>ness>,"{pl""Vmp}.>n@s>",2,NN,762.562,-0.082,257.890,32,0.94,756.615,0.123,181.401,26,1.0, p l ʌ m p n ə s 
plunder,7,2,"1,516",7.324,0.840,1.643,0.490,1.623,2,4,4,2,2,6.3,5.177,5.177,6.333,6.333,0,#,2,6.3,1.16,1.900,6.247,1.850,6.643,3.110,0.463,0,1.547,12.470,1.708,4.000,5.050,4.460,13,9,53,25,"13,739","2,289.833","2,150","pl""Vn.4@`",6,2,{plunder},"{pl""Vn.4@`}",1,NN|VB,683.393,-0.293,186.254,28,0.9,620.000,-0.542,140.552,24,1.0, p l ʌ n d ɚ 
plunderers,10,1,27,3.296,0.020,0.301,0.010,0.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.600,5.225,3.500,4.916,#,0.192,0,#,#,#,#,#,#,#,#,#,#,"25,912","2,879.111","2,828","pl""Vn.4@`.@`z",8,3,{plunder}>er>>s>,"{pl""Vn.4@`}.>@`>>z>",3,NN,886.625,0.430,249.807,24,0.75,813.276,0.221,248.633,29,1.0, p l ʌ n d ɚ ɹ ɚ z 
plundering,10,1,196,5.278,0.160,0.954,0.080,0.903,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.700,5.413,2.650,5.764,3.040,0.406,0,1.465,12.470,#,#,#,#,#,#,2,2,"27,427","3,047.444","3,427","pl""Vn.4@`.IN",8,3,{plunder}>ing>,"{pl""Vn.4@`}.>IN>",2,NN|VB,693.519,-0.151,150.587,27,0.79,701.179,-0.133,141.701,28,1.0, p l ʌ n d ɚ ɹ ɪ ŋ
plunge,6,5,"1,425",7.262,2.240,2.061,1.200,2.009,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,1.800,6.850,2.200,6.784,3.040,0.417,0,1.921,8.610,1.583,4.620,4.600,3.890,9,7,33,22,"8,344","1,668.800","1,072","pl""VndZ",5,1,{plunge},"{pl""VndZ}",1,NN|VB,698.545,-0.394,256.889,33,0.97,634.444,-0.385,120.171,27,1.0,p l ʌ n dʒ 
plunged,7,15,"1,073",6.978,0.980,1.708,0.520,1.653,3,1,1,1,1,6.5,6.165,6.165,6.165,6.165,1,8.3,2,5.6,1.07,1.750,5.683,2.500,6.064,#,0.466,0,1.760,8.610,#,#,#,#,#,#,1,1,"12,829","2,138.167","1,883","pl""VndZd",6,1,{plunge}>ed>,"{pl""VndZ}>d>",2,VB,644.424,-0.482,260.643,33,0.97,626.464,-0.477,101.693,28,1.0, p l ʌ n dʒ d 
plunger,7,#,476,6.165,0.940,1.690,0.480,1.613,3,2,2,2,2,6.5,7.151,7.151,7.151,7.151,2,7.2,1,5.1,0.95,1.800,6.412,2.700,6.387,4.960,0.389,0,#,9.630,#,4.250,3.150,5.200,4,2,23,13,"14,506","2,417.667","2,003","pl""VndZ.@`",6,2,{plunge}>er>,"{pl""VndZ}.>@`>",2,NN,675.077,-0.327,216.071,26,0.84,693.192,-0.266,198.091,26,1.0, p l ʌ n dʒ ɚ 
plunges,7,2,165,5.106,0.240,1.114,0.140,1.114,2,0,0,0,0,6.6,#,0.0,#,#,2,6.6,0,#,0.78,2.150,6.542,2.650,6.870,#,0.327,0,1.433,8.610,#,#,#,#,#,#,#,#,"12,833","2,138.833","1,764","pl""VndZ.@z",7,2,{plunge}>s>,"{pl""VndZ}.>@z>",2,VB|NN,732.906,-0.208,338.097,32,0.97,621.741,-0.457,107.019,27,0.964, p l ʌ n dʒ ᵻ z 
plunging,8,3,469,6.151,0.450,1.380,0.260,1.362,2,0,0,0,0,5.7,#,0.0,#,#,1,7.3,1,4.2,1.07,2.150,6.676,2.750,6.553,3.320,0.364,0,1.744,8.610,#,#,#,#,1,1,2,1,"18,525","2,646.429","2,691","pl""VndZ.IN",7,2,{plunge}>ing>,"{pl""VndZ}.>IN>",2,VB|NN|JJ,715.844,-0.324,245.273,32,0.97,754.000,-0.052,252.777,27,1.0, p l ʌ n dʒ ɪ ŋ 
plunking,8,2,69,4.234,0.020,0.301,0.010,0.301,3,1,1,1,1,5.3,4.025,4.025,4.025,4.025,2,5.9,1,4.0,0.80,2.100,6.829,2.400,6.329,#,0.243,0,#,#,#,#,#,#,#,#,#,#,"14,740","2,105.714","2,678","pl""VNk.IN",7,2,{plunk}>ing>,"{pl""VNk}.>IN>",2,VB|NN|JJ,733.960,-0.131,210.691,25,0.78,629.370,-0.428,125.539,27,0.964, p l ʌ ŋ k ɪ ŋ 
plural,6,#,"1,827",7.51,0.960,1.699,0.490,1.623,0,0,6,0,0,#,#,2.565,#,#,#,#,#,#,#,2.600,7.295,2.600,7.481,2.590,0.561,74,1.276,7.450,1.571,4.810,3.400,5.780,27,9,87,50,"8,886","1,777.200","1,262","pl""U.r@l",6,2,{plural},"{pl""U.r@l}",1,JJ|NN,753.531,-0.340,325.161,32,0.97,605.778,-0.479,99.650,27,0.964, p l ʊɹ ɹ əl 
pluralism,9,1,257,5.549,0.020,0.301,0.010,0.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.450,5.415,3.900,4.845,1.790,0.472,0,1.231,13.760,#,#,#,#,#,#,1,1,"14,919","1,864.875","1,896","pl""U.r@l.%I.zm=",9,4,{plural}>ism>,"{pl""U.r@l}.>%I.zm=>",2,NN,755.759,-0.042,301.039,29,0.88,748.192,0.103,193.064,26,0.963, p l ʊɹ ɹ ə l ɪ z ə m 
pluralistic,11,2,167,5.118,0.020,0.301,0.010,0.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.950,6.093,4.700,5.865,2.270,0.367,0,1.260,14.560,#,#,#,#,#,#,1,1,"25,027","2,502.700","2,510","pl%U.r@l.""Ist.Ik",11,4,{plural}>ist>>ic>,"{pl%U.r@l}.>""Ist>.>Ik>",3,JJ,973.759,0.493,463.637,29,0.88,935.750,0.736,249.747,24,0.923, p l ʊɹ ɹ ə l ɪ s t ɪ k 
plurality,9,#,394,5.976,0.020,0.301,0.010,0.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.250,6.224,3.700,6.724,2.540,0.496,0,1.275,14.300,#,#,#,#,1,1,9,6,"14,513","1,814.125","2,008","plU.r""al.@.4i",9,4,{plural}>ity>,"{plU.r""al$}.>@.4i>",2,NN,881.839,0.459,313.064,31,0.91,824.810,0.46,214.528,21,0.84, p l ʊɹ ɹ æ l ᵻ ɾ i 
plus,4,72,"99,584",11.509,47.040,3.380,19.300,3.209,2,6,6,2,2,8.2,7.869,7.869,8.191,8.191,0,#,2,8.2,1.40,1.750,7.686,1.650,7.861,3.000,0.669,"7,740",2.063,6.371,1.222,#,#,#,197,42,423,103,"2,826",942.000,621,"pl""Vs",4,1,{plus},"{pl""Vs}",1,minor,585.441,-0.679,186.027,34,1.0,604.500,-0.511,111.937,28,1.0, p l ʌ s 
plush,5,3,695,6.544,0.550,1.462,0.320,1.447,3,8,8,3,3,7.1,7.668,7.668,7.114,7.114,2,7.7,1,5.9,0.92,1.700,7.137,1.550,7.700,2.960,0.400,0,1.728,9.580,3.240,6.320,3.050,5.620,19,14,80,48,"4,121","1,030.250",776,"pl""VS",4,1,{plush},"{pl""VS}",1,JJ,667.655,-0.305,225.867,29,0.91,593.852,-0.464,94.122,27,0.964, p l ʌ ʃ 
Pluto,5,#,"1,664",7.417,3.040,2.193,0.460,1.602,1,1,1,1,1,7.5,7.549,7.549,7.549,7.549,1,7.5,0,#,0.98,1.950,7.975,2.550,7.143,#,0.518,0,1.232,#,#,#,#,#,34,9,105,24,"3,666",916.500,827,"pl""u.4o",5,2,{pluto},"{pl""u.4o}",1,NN,629.606,-0.521,117.582,33,0.97,636.821,-0.401,103.791,28,1.0, p l uː ɾ oʊ 
plutonium,9,#,"2,253",7.72,1.960,2.004,0.610,1.716,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.200,5.991,4.200,6.537,4.300,0.553,1,0.606,13.680,#,4.050,4.450,4.150,9,2,18,4,"10,475","1,309.375","1,559","plu.t""o.ni@m",9,3,{plutonium},"{plu.t""o.ni@m}",1,NN|JJ,906.625,0.401,289.104,24,0.75,810.400,0.601,188.947,25,1.0, p l uː t oʊ n iə m 
ply,3,#,608,6.41,0.310,1.230,0.170,1.176,4,9,9,3,3,9.0,7.929,7.929,8.105,8.105,4,9.0,0,#,0.71,1.700,8.723,1.150,8.228,3.310,0.369,0,1.003,12.000,1.792,#,#,#,4,4,11,9,"2,321","1,160.500",258,"pl""aI",3,1,{ply},"{pl""aI}",1,VB,716.136,-0.317,301.561,22,0.65,573.680,-0.667,94.357,25,1.0, p l aɪ 
Plymouth,8,11,"2,559",7.847,1.590,1.914,0.630,1.732,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.800,7.163,2.750,6.620,#,0.593,"2,563",1.647,#,#,#,#,#,4,3,12,11,"7,367","1,052.429",717,"pl""I.m@T",6,2,{ply--mouth},"{pl""I-.-m@T}",2,NN,636.303,-0.471,189.312,33,0.97,697.222,-0.06,194.796,27,0.964, p l ɪ m ə θ 
plywood,7,9,"1,286",7.159,0.450,1.380,0.260,1.362,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.250,6.963,3.700,5.679,4.820,0.496,0,1.134,9.380,4.808,4.740,2.670,5.050,3,2,9,7,"4,157",692.833,378,"pl""aI.w%Ud",6,2,{ply}{wood},"{pl""aI}.{w%Ud}",2,NN,777.062,-0.095,240.952,32,0.94,660.333,-0.41,120.371,27,0.964, p l aɪ w ʊ d 
pneumatic,9,#,468,6.148,0.430,1.362,0.230,1.301,0,2,2,0,0,#,5.060,5.06,#,#,#,#,#,#,#,3.350,5.764,2.600,6.109,2.810,0.545,0,1.516,14.460,#,4.500,3.900,4.670,2,2,8,6,"15,998","1,999.750","2,012","nu.m""a.4Ik",7,3,{pneum--atic},"{nu.m--""a.4Ik}",2,JJ,842.538,0.369,289.379,26,0.79,995.960,1.218,329.435,25,0.962, n uː m æ ɾ ɪ k 
pneumonia,9,3,695,6.544,5.040,2.412,2.190,2.267,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.950,6.516,3.650,6.656,3.830,0.559,1,1.407,9.650,2.500,2.650,4.620,2.910,3,3,15,9,"11,276","1,409.500",877,"nu.m""o.nj@",7,3,{pneumonia},"{nu.m""o.nj@}",1,NN,796.531,0.054,312.879,32,0.97,804.346,0.338,217.395,26,0.963, n uː m oʊ n iə 
poach,5,1,46,3.829,0.330,1.255,0.190,1.230,6,13,13,5,5,7.1,7.984,7.984,7.011,7.011,6,7.1,0,#,0.54,1.700,7.350,1.700,8.030,3.380,0.179,0,1.234,10.060,2.680,#,#,#,#,#,7,5,"4,476","1,119.000","1,234","p""otS",3,1,{poach},"{p""otS}",1,VB,823.704,-0.017,425.576,27,0.79,667.185,-0.452,186.336,27,1.0, p oʊ tʃ 
poacher,7,#,69,4.234,0.510,1.431,0.240,1.322,1,4,4,0,0,0.0,7.551,7.551,#,#,0,#,1,0.0,0.00,2.300,6.855,1.900,7.125,4.000,0.242,0,1.293,10.110,3.360,3.100,4.860,4.670,2,2,7,6,"12,387","2,064.500","2,504","p""otS.@`",4,2,{poach}>er>,"{p""otS}.>@`>",2,NN,771.793,-0.160,281.450,29,0.85,708.679,-0.073,188.978,28,1.0, p oʊ tʃ ɚ 
poaches,7,1,1,0.0,0.040,0.477,0.020,0.477,5,7,7,3,3,5.8,6.991,6.991,6.654,6.654,5,5.8,0,#,0.00,1.750,6.582,1.750,6.728,#,0.287,0,#,10.060,#,#,#,#,#,#,#,#,"10,714","1,785.667","2,265","p""otS.@z",5,2,{poach}>s>,"{p""otS}.>@z>",2,VB,853.045,0.469,248.541,22,0.69,642.750,-0.392,211.766,28,1.0, p oʊ tʃ ᵻ z 
pock,4,#,27,3.296,0.080,0.699,0.050,0.699,14,31,31,13,13,8.3,8.028,8.028,8.355,8.355,14,8.3,0,#,0.40,1.300,8.028,1.000,8.786,#,0.293,0,#,12.000,#,#,#,#,1,1,5,5,"2,666",888.667,"1,011","p""Ak",3,1,{pock},"{p""Ak}",1,NN|VB,678.500,-0.399,242.084,12,0.35,574.400,-0.653,107.567,25,0.962, p ɑː k 
pocket,6,46,"10,760",9.284,35.710,3.260,15.280,3.108,6,7,7,6,6,7.6,7.362,7.362,7.559,7.559,2,9.4,4,6.6,1.23,1.650,7.018,1.600,7.382,4.680,0.604,"3,905",1.640,4.740,5.407,5.670,4.500,6.370,51,20,227,104,"4,918",983.600,"1,670","p""A.k@t",5,2,{pocket},"{p""A.k@t}",1,NN|VB,612.794,-0.667,190.183,34,1.0,674.000,-0.343,251.702,25,1.0, p ɑː k ɪ t 
pocketbook,10,3,367,5.905,1.490,1.887,0.670,1.756,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.400,5.411,3.900,5.908,5.000,0.201,0,#,9.350,5.885,5.600,3.420,6.420,9,7,19,11,"6,898",766.444,"1,748","p""A.k@t.b%Uk",8,3,{pocket}{book},"{p""A.k@t}.{b%Uk}",2,NN,703.971,-0.312,201.370,34,0.97,636.793,-0.428,124.077,29,1.0, p ɑː k ɪ t b ʊ k 
pocketbooks,11,1,127,4.844,0.120,0.845,0.070,0.845,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.650,5.857,4.200,5.548,#,0.165,0,#,9.350,#,#,#,#,#,#,#,#,"7,138",713.800,"1,754","p""A.k@t.b%Uks",9,3,{pocket}{book}>s>,"{p""A.k@t}.{b%Uk}>s>",3,NN,820.576,-0.056,303.076,33,1.0,683.185,-0.238,184.192,27,1.0, p ɑː k ɪ t b ʊ k s 
pocketed,8,1,182,5.204,0.140,0.903,0.080,0.903,2,2,2,2,2,2.5,2.485,2.485,2.485,2.485,0,#,2,2.5,2.09,2.550,6.858,2.600,6.270,3.410,0.264,0,1.698,4.740,#,#,#,#,#,#,#,#,"13,798","1,971.143","2,902","p""A.k@4.@d",7,3,{pocket}>ed>,"{p""A.k@4}.>@d>",2,VB|JJ,746.906,-0.136,241.418,32,0.94,630.250,-0.424,87.019,28,1.0, p ɑː k ɪ ɾ ᵻ d 
pocketful,9,1,81,4.394,0.410,1.342,0.200,1.255,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.750,6.241,3.800,6.008,3.930,0.189,0,#,7.370,2.880,6.250,2.720,6.360,#,#,1,1,"6,434",804.250,"1,756","p""A.k@t.fUl",8,3,{pocket}>ful>,"{p""A.k@t}.>fUl>",2,NN,672.355,-0.222,194.131,31,0.94,646.593,-0.253,167.171,27,1.0, p ɑː k ɪ t f əl 
pocketknife,11,#,22,3.091,0.330,1.255,0.190,1.230,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,5.550,5.862,5.100,3.964,4.930,0.177,0,#,5.940,5.692,#,#,#,1,1,1,1,"7,616",761.600,"1,801","""pAkIt%naIf",8,3,#,,#,NN,851.310,0.242,208.601,29,0.88,736.259,-0.037,149.001,27,1.0, p ɑː k ɪ t n aɪ f 
pockets,7,17,"3,697",8.215,12.270,2.797,5.320,2.650,4,5,11,4,4,7.6,7.058,6.206,7.592,7.592,2,8.8,2,6.4,1.08,1.750,7.030,1.750,7.466,#,0.555,99,1.715,4.740,#,#,#,#,3,3,36,28,"5,924",987.333,"1,813","p""A.k@ts",6,2,{pocket}>s>,"{p""A.k@t}>s>",2,NN|VB,624.030,-0.563,139.495,33,0.97,572.250,-0.721,117.769,28,1.0, p ɑː k ɪ t s 
pocket's,8,1,7,1.946,#,#,#,#,1,5,11,1,1,4.9,7.058,7.251,4.920,4.920,1,4.9,0,#,0.40,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"6,050",864.286,"1,915","p""A.k@ts",6,2,{pocket}>'s>,"{p""A.k@t}>s>",2,encl,704.500,-0.314,218.259,32,1.0,616.741,-0.368,157.965,27,1.0, p ɑː k ɪ t s 
pockmark,8,#,0,0.0,0.020,0.301,0.010,0.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.700,5.911,3.600,4.697,4.360,0.277,0,#,12.880,3.750,#,#,#,#,#,#,#,"7,600","1,085.714","1,505","p""Ak.m%Ark",7,2,{pock}{mark},"{p""Ak}.{m%Ark}",2,VB|NN,934.286,0.567,377.093,7,0.21,841.800,0.202,257.984,25,0.893, p ɑː k m ɑːɹ k 
pod,3,3,"4,308",8.368,8.000,2.612,1.530,2.111,11,20,20,9,9,8.6,7.781,7.781,8.965,8.965,6,9.9,5,7.0,0.97,1.250,8.945,1.000,8.018,4.630,0.555,16,1.514,7.950,3.821,5.000,3.320,5.110,66,15,135,36,"1,610",805.000,572,"p""Ad",3,1,{pod},"{p""Ad}",1,NN,679.621,-0.367,236.794,29,0.91,582.593,-0.6,106.746,27,0.964, p ɑː d 
podiatrist,10,#,75,4.317,0.200,1.041,0.120,1.041,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.350,6.119,5.800,5.504,4.630,0.193,0,#,15.500,4.792,#,#,#,1,1,3,3,"19,674","2,186.000","2,023","p@d""aI@tr%Ist",10,4,#,,#,#,781.000,0.091,324.654,19,0.58,"1,063.192",0.998,397.643,26,1.0, p oʊ d ɪ æ t ɹ ɪ s t 
podiatry,8,#,17,2.833,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.800,6.579,3.850,6.738,2.880,0.299,0,#,#,#,#,#,#,1,1,1,1,"11,110","1,587.143","1,599","po""daI@tri",8,4,#,,#,NN,954.211,0.539,262.830,19,0.61,895.056,0.787,213.148,18,0.72, p oʊ d ɪ ə t ɹ i 
podium,6,1,606,6.407,1.270,1.819,0.600,1.708,1,1,1,1,1,7.7,7.698,7.698,7.698,7.698,1,7.7,0,#,0.83,2.700,6.765,2.450,6.776,4.890,0.516,0,1.574,9.350,#,5.050,3.520,4.610,14,11,68,45,"4,172",834.400,956,"p""o.4i@m",6,2,{podi--um},"{p""o.4i--@m}",2,NN,728.808,-0.065,243.811,26,0.79,640.786,-0.351,109.843,28,1.0, p oʊ d iə m 
pods,4,1,956,6.863,1.980,2.009,0.580,1.699,6,9,9,4,4,8.0,7.395,7.395,8.012,8.012,5,8.4,1,6.3,0.85,1.600,7.783,1.500,7.863,#,0.523,0,1.284,7.950,#,#,#,#,5,5,8,6,"2,025",675.000,615,"p""Adz",4,1,{pod}>s>,"{p""Ad}>z>",2,NN,623.065,-0.441,129.556,31,0.91,615.040,-0.438,167.003,25,1.0, p ɑː d z 
Poe,3,4,859,6.756,3.410,2.243,0.560,1.681,13,35,35,9,9,8.3,9.202,9.202,8.036,8.036,12,8.4,1,6.7,0.82,1.000,8.198,1.000,10.109,#,0.560,160,#,#,#,#,#,#,14,10,52,26,"1,221",610.500,472,"p""o",2,1,{poe},"{p""o}",1,NN,651.567,-0.396,238.017,30,0.88,609.074,-0.512,110.918,27,1.0, p oʊ 
poem,4,48,"5,184",8.553,13.650,2.843,3.740,2.498,1,1,1,1,1,8.1,8.147,8.147,8.147,8.147,0,#,1,8.1,1.05,1.850,7.850,1.900,7.509,4.030,0.627,"5,057",0.982,6.890,2.480,6.620,4.150,6.310,244,45,477,127,"2,232",744.000,572,"p""o@m",4,1,{poem},"{p""o@m}",1,NN,661.382,-0.641,293.342,34,0.94,630.143,-0.451,110.957,28,1.0, p oʊ ᵻ m 
poems,5,82,"3,654",8.204,4.760,2.387,1.940,2.215,1,0,0,0,0,7.5,#,0.0,#,#,0,#,1,7.5,1.09,1.900,7.401,1.950,7.161,#,0.619,"4,435",0.911,6.890,#,#,#,#,10,8,33,26,"2,429",607.250,627,"p""o@mz",5,1,{poem}>s>,"{p""o@m}>z>",2,NN,615.061,-0.553,262.132,33,0.97,606.714,-0.514,170.966,28,1.0, p oʊ ᵻ m z 
poet,4,99,"3,454",8.147,9.220,2.673,3.270,2.439,4,3,3,2,2,9.5,9.290,9.29,10.541,10.541,3,10.7,1,5.8,0.86,1.600,8.230,1.800,8.135,4.360,0.629,"4,861",1.120,8.610,4.565,6.850,2.910,5.840,51,27,124,61,"2,575",858.333,581,"p""o@t",4,1,{poet},"{p""o@t}",1,NN,570.303,-0.649,146.134,33,1.0,582.964,-0.527,108.609,28,1.0, p oʊ ɪ t 
poetic,6,31,"1,433",7.268,2.690,2.140,1.450,2.090,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.300,7.186,2.650,6.900,1.880,0.583,"1,705",1.089,9.940,#,6.830,4.400,6.320,10,5,37,27,"9,644","1,928.800","1,575","po.""E4.Ik",6,3,{poet}>ic>,"{po.""E4$}.>Ik>",2,JJ,661.875,-0.322,250.855,32,0.97,669.429,-0.314,173.872,28,1.0, p oʊ ɛ ɾ ɪ k 
poetical,8,#,63,4.143,0.040,0.477,0.020,0.477,0,1,1,0,0,#,4.595,4.595,#,#,#,#,#,#,#,2.700,7.384,2.850,7.227,1.710,0.459,0,0.835,10.950,#,#,#,#,1,1,1,1,"14,511","2,073.000","2,077","po.""E4.Ik.l=",7,4,{poet}>ic>>al>,"{po.""E4$}.>Ik>.>l=>",3,JJ,907.778,0.398,313.328,27,0.84,957.261,0.53,383.717,23,0.92, p oʊ ɛ ɾ ɪ k əl 
poetics,7,8,99,4.595,#,#,#,#,0,1,1,0,0,#,4.143,4.143,#,#,#,#,#,#,#,2.550,7.002,2.800,6.581,2.520,0.439,0,0.491,#,#,#,#,#,#,#,#,#,"9,745","1,624.167","1,592","po.""E4.Iks",7,3,{poet}>ics>,"{po.""E4$}.>Iks>",2,NN,728.345,-0.164,334.026,29,0.85,744.231,-0.044,203.388,26,0.929, p oʊ ɛ ɾ ɪ k s 
poetry,6,88,"8,869",9.09,13.370,2.834,4.640,2.591,0,1,1,0,0,#,7.001,7.001,#,#,#,#,#,#,#,2.300,7.212,2.650,6.769,3.500,0.640,"6,049",1.014,8.110,1.840,6.150,3.590,5.830,120,44,414,168,"4,897",979.400,924,"p""o@.tri",6,2,{poet}>ry>,"{p""o@.t}>ri>",2,NN,607.818,-0.714,137.887,33,1.0,610.556,-0.511,139.882,27,1.0, p oʊ ɪ t ɹ i 
poetry's,8,1,23,3.135,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"6,038",862.571,"1,175","p""o@.triz",7,2,{poet}>ry>>'s>,"{p""o@.t}>ri>>z>",3,encl,786.156,-0.062,255.617,32,0.97,669.481,-0.223,106.133,27,0.964, p oʊ ɪ t ɹ i z 
poets,5,32,"1,810",7.501,2.800,2.158,1.120,1.978,3,1,6,1,1,9.7,11.079,8.184,11.079,11.079,3,9.7,0,#,0.78,1.700,7.899,1.900,7.560,#,0.595,"2,888",1.010,8.610,#,#,#,#,2,2,7,6,"3,581",895.250,708,"p""o@ts",5,1,{poet}>s>,"{p""o@t}>s>",2,NN,573.118,-0.631,142.871,34,1.0,613.037,-0.445,82.956,27,1.0, p oʊ ɪ t s 
poet's,6,13,198,5.288,#,#,#,#,0,1,6,0,0,#,11.079,9.29,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"3,707",741.400,738,"p""o@ts",5,1,{poet}>'s>,"{p""o@t}>s>",2,encl,683.118,-0.461,181.265,34,1.0,576.593,-0.634,95.822,27,1.0, p oʊ ɪ t s 
poignancy,9,2,45,3.807,0.040,0.477,0.020,0.477,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.600,5.701,3.550,6.267,1.650,0.258,0,1.654,13.070,#,#,#,#,#,#,#,#,"8,971","1,121.375","1,331","p""OI.nj@n.si",8,3,{poign--ancy},"{p""OI.nj--@n.si}",2,NN,913.278,0.596,324.487,18,0.56,935.700,0.938,313.368,20,0.8, p ɔɪ n j ə n s i 
