,,grammatical,number of,number of,graphemic,number of,number of,EQOL,Levenstein,Grapheme-Phoneme segmentation,,,Phoneme-Grapheme segmentation,,,Rime segmentation,,,Rime match frequency,,Ortho-Phono rime consistency,,Phono-Ortho rime consistency,,G-Ph frequency,,Ph-G frequency,,G-Ph consistency,,Ph-G consistency,,Least frequent G-Ph,,Least frequent Ph-G,,Least consistent G-Ph,,Least consistent Ph-G,,Frequency initial G-Ph,,Mean frequency internal G-Ph,,Frequency final G-Ph,,Frequency initial Ph-G,,Mean frequency internal Ph-G,,Frequency final Ph-G,,Consistency initial G-Ph,,Mean consistency internal G-Ph,,Consistency final G-Ph,,Consistency initial Ph-G,,Mean Consistencyinternal Ph-G,,Consistency final Ph-G,
pagayer,pagEje,VER,7,6,1.17,5,3,9.32932,2.75,.p.a.g.ay.er,.p.a.g.Ej.e,(p-p.a-a.g-g.ay-Ej.er-e),.p.a.g.ay.er,.p.a.g.Ej.e,(p-p.a-a.g-g.ay-Ej.er-e),yer,je,yer-je,17,233,100,100,4.632,3.181,1227,41479,1226,41485,75.501,68.174,72.325,73.822,23,ay-Ej,21,ay-Ej,39.497,g-g,30.504,er-e,1317,78832.869,1337,36300.526,805,19660.067,1317,78832.869,1336,36309.855,805,19660.067,100,100,59.659,48.629,98.531,94.982,100,100,77.04,76.326,30.504,40.134
pagayes,pagEj,VER,7,5,1.4,6,2,3.10977,2.6,.p.a.g.ay.e.s,.p.a.g.Ej.°.#,(p-p.a-a.g-g.ay-Ej.e-°.s-#),.p.a.g.ayes,.p.a.g.Ej,(p-p.a-a.g-g.ayes-Ej),ayes,Ej,ayes-Ej,1,3,100,100,3.226,0.276,1928,76131,1326,46892,79.677,73.769,73.016,72.493,23,ay-Ej,1,ayes-Ej,39.497,g-g,2.941,ayes-Ej,1317,78832.869,1563,41898.923,4002,210357.889,1317,78832.869,1994,54365.268,1,3.11,100,100,69.744,61.472,99.084,96.724,100,100,94.561,94.857,2.941,0.256
page,paZ,NC,4,3,1.33,4,1,519.3319,1.55,.p.a.g.e,.p.a.Z.°,(p-p.a-a.g-Z.e-°),.p.a.ge,.p.a.Z,(p-p.a-a.ge-Z),age,aZ,age-aZ,83,3200,98.81,99.324,67.48,66.216,2119,90415,1684,61138,87.799,86.271,87.067,89.766,616,g-Z,155,ge-Z,59.632,g-Z,61.508,ge-Z,1317,78832.869,2099,57224.724,2962,168375.764,1317,78832.869,3581,98542.877,155,6039.191,100,100,75.597,72.542,100,100,100,100,99.694,99.441,61.508,69.856
pages,paZ,NC,5,3,1.67,5,1,391.83125,1.75,.p.a.g.e.s,.p.a.Z.°.#,(p-p.a-a.g-Z.e-°.s-#),.p.a.ges,.p.a.Z,(p-p.a-a.ges-Z),ages,aZ,ages-aZ,31,1555,96.875,99.8,25.203,32.175,2351,92467,1656,59890,90.056,88.361,75.956,75.329,616,g-Z,71,ges-Z,59.632,g-Z,28.175,ges-Z,1317,78832.869,2145,57714.521,4002,210357.889,1317,78832.869,3581,98542.877,71,2295.021,100,100,83.731,81.694,99.084,96.724,100,100,99.694,99.441,28.175,26.547
pagne,paN,NC,5,3,1.67,4,1,3.10977,1.85,.p.a.gn.e,.p.a.N.°,(p-p.a-a.gn-N.e-°),.p.a.gne,.p.a.N,(p-p.a-a.gne-N),agne,aN,agne-aN,6,333,85.714,85.6,66.667,60.795,2011,87699,1641,59773,97.891,96.247,84.295,91.341,182,gn-N,25,gne-N,91.562,a-a,53.191,gne-N,1317,78832.869,1882,51793.475,2962,168375.764,1317,78832.869,3581,98542.877,25,1943.61,100,100,95.781,92.494,100,100,100,100,99.694,99.441,53.191,74.582
paie,pE,"NC,VER",4,2,2,3,1,15.54886,1.4,.p.ai.e,.p.E.#,(p-p.ai-E.e-#),.p.aie,.p.E,(p-p.aie-E),aie,E,aie-E,9,330,100,100,1.322,0.362,934,38849,663,39580,71.912,68.041,50.554,50.217,591,e-#,8,aie-E,16.592,e-#,1.108,aie-E,1317,78832.869,894,23861.411,591,13854.118,1317,78832.869,0,0,8,326.527,100,100,99.143,99.256,16.592,4.866,100,100,,,1.108,0.433
paient,pE,VER,6,2,3,4,1,6.21954,1.75,.p.ai.en.t,.p.E.#.#,(p-p.ai-E.en-#.t-#),.p.aient,.p.E,(p-p.aient-E),aient,E,aient-E,118,958,100,100,17.327,1.051,1229,50592,721,39906,83.374,81.454,58.657,50.65,650,en-#,125,aient-E,35.269,en-#,17.313,aient-E,1317,78832.869,772,18489.251,2055,86557.658,1317,78832.869,0,0,125,979.601,100,100,67.206,63.605,99.084,98.604,100,100,,,17.313,1.3
paiera,pERA,VER,6,4,1.5,5,2,3.10977,2.1,.p.ai.e.r.a,.p.E.#.R.A,(p-p.ai-E.e-#.r-R.a-A),.p.ai.e.r.a,.p.E.#.R.A,(p-p.ai-E.e-#.r-R.a-A),a,A,a-A,211,4027,92.952,10.64,66.144,29.075,1804,62111,1391,46456,79.831,62.614,55.567,48.022,227,a-A,23,e-#,8.14,e-#,0,e-#,1317,78832.869,2491,75866.319,227,4123.597,1317,78832.869,1803,49775.241,227,4123.597,100,100,69.084,67.404,91.903,10.857,100,100,36.759,36.137,67.56,31.7
paille,paj,"ADJ,NC",6,3,2,4,1,62.19544,1.9,.p.a.ill.e,.p.a.j.°,(p-p.a-a.ill-j.e-°),.p.a.ille,.p.a.j,(p-p.a-a.ille-j),aille,aj,aille-aj,9,311,100,100,31.034,29.155,1991,86869,1640,59293,84.928,79.064,78.04,76.747,104,ill-j,21,ille-j,48.148,ill-j,34.426,ille-j,1317,78832.869,1843,50132.852,2962,168375.764,1317,78832.869,3581,98542.877,21,503.786,100,100,69.855,58.127,100,100,100,100,99.694,99.441,34.426,30.799
pailles,paj,NC,7,3,2.33,5,1,6.21954,1.9,.p.a.ill.e.s,.p.a.j.°.#,(p-p.a-a.ill-j.e-°.s-#),.p.a.illes,.p.a.j,(p-p.a-a.illes-j),ailles,aj,ailles-aj,9,118,90,97.436,31.034,11.079,2248,89630,1638,59218,87.759,82.596,75.854,72.12,104,ill-j,17,illes-j,48.148,ill-j,27.869,illes-j,1317,78832.869,1974,52986.607,4002,210357.889,1317,78832.869,3581,98542.877,17,276.772,100,100,79.903,72.085,99.084,96.724,100,100,99.694,99.441,27.869,16.92
pain,p5,NC,4,2,2,2,1,90.18338,1.4,.p.ain,.p.5,(p-p.ain-5),.p.ain,.p.5,(p-p.ain-5),ain,5,ain-5,25,1101,100,100,14.881,17.118,671,39967,671,39967,100,100,54.613,53.908,25,ain-5,25,ain-5,100,p-p,9.225,ain-5,1317,78832.869,0,0,25,1100.86,1317,78832.869,0,0,25,1100.86,100,100,,,100,100,100,100,,,9.225,7.815
pains,p5,NC,5,2,2.5,3,1,18.65863,1.6,.p.ain.s,.p.5.#,(p-p.ain-5.s-#),.p.ains,.p.5,(p-p.ains-5),ains,5,ains-5,23,902,100,100,13.69,14.023,1788,96963,670,39867,99.695,98.908,54.244,53.201,44,ain-5,23,ains-5,99.084,s-#,8.487,ains-5,1317,78832.869,44,1697.94,4002,210357.889,1317,78832.869,0,0,23,901.835,100,100,100,100,99.084,96.724,100,100,,,8.487,6.402
pair,pER,"ADJ,NC",4,3,1.33,3,1,62.19544,1.65,.p.ai.r,.p.E.R,(p-p.ai-E.r-R),.p.ai.r,.p.E.R,(p-p.ai-E.r-R),air,ER,air-ER,7,438,100,100,2.456,3.642,854,45928,677,42016,99.62,99.573,45.76,49.787,352,r-R,349,ai-E,99.143,ai-E,14.095,ai-E,1317,78832.869,894,23861.411,352,35090.703,1317,78832.869,349,11086.372,364,36129.368,100,100,99.143,99.256,99.717,99.462,100,100,14.095,12.538,23.185,36.823
paire,pER,"ADJ,NC",5,3,1.67,4,1,55.97589,1.45,.p.ai.r.e,.p.E.R.°,(p-p.ai-E.r-R.e-°),.p.ai.re,.p.E.R,(p-p.ai-E.re-R),aire,ER,aire-ER,79,3427,100,100,27.719,28.461,2849,117379,734,41881,99.778,99.813,49.433,49.65,894,ai-E,349,ai-E,99.143,ai-E,14.095,ai-E,1317,78832.869,3558,111153.037,2962,168375.764,1317,78832.869,349,11086.372,537,35725.115,100,100,99.556,99.625,100,100,100,100,14.095,12.538,34.204,36.411
paires,pER,"ADJ,NC",6,3,2,5,1,46.64658,1.85,.p.ai.r.e.s,.p.E.R.°.#,(p-p.ai-E.r-R.e-°.s-#),.p.ai.res,.p.E.R,(p-p.ai-E.res-R),aires,ER,aires-ER,54,908,100,100,18.947,7.541,2935,114038,640,32951,99.639,99.195,43.424,40.548,894,ai-E,254,res-R,99.084,s-#,14.095,ai-E,1317,78832.869,3118,93666.73,4002,210357.889,1317,78832.869,349,11086.372,254,8934.409,100,100,99.704,99.75,99.084,96.724,100,100,14.095,12.538,16.178,9.106
pairs,pER,"ADJ,NC",5,3,1.67,4,1,9.32932,1.7,.p.ai.r.s,.p.E.R.#,(p-p.ai-E.r-R.s-#),.p.ai.rs,.p.E.R,(p-p.ai-E.rs-R),airs,ER,airs-ER,5,106,100,100,1.754,0.878,3109,127874,619,33084,99.549,98.994,42.066,40.683,894,ai-E,190,rs-R,99.084,s-#,12.102,rs-R,1317,78832.869,3558,111153.037,4002,210357.889,1317,78832.869,349,11086.372,190,9332.446,100,100,99.556,99.625,99.084,96.724,100,100,14.095,12.538,12.102,9.512
paisiblement,pezibl%m@,ADV,12,9,1.33,10,4,3.10977,4.05,.p.ai.s.i.b.l.e.m.en.t,.p.e.z.i.b.l.%.m.@.#,(p-p.ai-e.s-z.i-i.b-b.l-l.e-%.m-m.en-@.t-#),.p.ai.s.i.b.l.e.m.ent,.p.e.z.i.b.l.%.m.@,(p-p.ai-e.s-z.i-i.b-b.l-l.e-%.m-m.ent-@),ent,@,ent-@,303,8885,100,100,35.151,16.181,1530,51549,1221,37899,78.598,78.016,78.736,77.322,32,ai-e,32,ai-e,17.781,e-%,1.673,ai-e,1317,78832.869,1490,43762.447,2055,86557.658,1317,78832.869,1338,36172.59,309,9049.468,100,100,73.361,72.694,99.084,98.604,100,100,82.111,82.048,33.844,21.564
paître,pEtR,VER,6,4,1.5,5,1,3.10977,2.1,.p.aî.t.r.e,.p.E.t.R.°,(p-p.aî-E.t-t.r-R.e-°),.p.aî.t.re,.p.E.t.R,(p-p.aî-E.t-t.re-R),aître,EtR,aître-EtR,9,485,100,100,23.077,13.589,2860,111443,1244,49912,93.759,95.334,57.412,58.297,45,aî-E,38,aî-E,83.919,t-t,1.535,aî-E,1317,78832.869,3340,103335.028,2962,168375.764,1317,78832.869,1561,42544.989,537,35725.115,100,100,89.598,92.223,100,100,100,100,47.722,48.388,34.204,36.411
paix,pE,NC,4,2,2,3,1,77.7443,1.8,.p.ai.x,.p.E.#,(p-p.ai-E.x-#),.p.aix,.p.E,(p-p.aix-E),aix,E,aix-E,1,78,100,100,0.147,0.085,796,38218,659,39455,98.804,99.098,50.07,50.052,178,x-#,1,aix-E,97.268,x-#,0.139,aix-E,1317,78832.869,894,23861.411,178,11960.206,1317,78832.869,0,0,1,77.744,100,100,99.143,99.256,97.268,98.037,100,100,,,0.139,0.103
palais,palE,NC,6,4,1.5,5,2,31.09772,2.1,.p.a.l.ai.s,.p.a.l.E.#,(p-p.a-a.l-l.ai-E.s-#),.p.a.l.ais,.p.a.l.E,(p-p.a-a.l-l.ais-E),ais,E,ais-E,110,5218,100,100,16.153,5.725,2494,98344,1776,60493,97.921,96.124,77.07,75.376,894,ai-E,113,ais-E,91.562,a-a,15.651,ais-E,1317,78832.869,2384,67509.3,4002,210357.889,1317,78832.869,2836,78949.681,113,5239.983,100,100,96.84,94.632,99.084,96.724,100,100,96.314,97.274,15.651,6.956
pâle,pAl,ADJ,4,3,1.33,4,1,18.65863,1.75,.p.â.l.e,.p.A.l.°,(p-p.â-A.l-l.e-°),.p.â.le,.p.A.l,(p-p.â-A.le-l),âle,Al,âle-Al,3,37,100,100,60,66.667,1754,82204,561,30634,98.763,99.592,52.405,45.409,60,â-A,59,â-A,95.238,â-A,21.223,â-A,1317,78832.869,1369,40803.49,2962,168375.764,1317,78832.869,59,1424.284,307,11646.13,100,100,97.526,99.184,100,100,100,100,21.223,13.435,35.991,22.791
pâles,pAl,"NC,ADJ",5,3,1.67,5,1,3.10977,1.8,.p.â.l.e.s,.p.A.l.°.#,(p-p.â-A.l-l.e-°.s-#),.p.â.les,.p.A.l,(p-p.â-A.les-l),âles,Al,âles-Al,2,19,100,100,40,33.333,2059,85898,524,28149,98.827,99.018,48.106,40.544,60,â-A,59,â-A,95.238,â-A,21.223,â-A,1317,78832.869,1659,46767.032,4002,210357.889,1317,78832.869,59,1424.284,197,4188.885,100,100,98.351,99.456,99.084,96.724,100,100,21.223,13.435,23.095,8.197
palissade,palisad,NC,9,7,1.29,8,3,18.65863,3.55,.p.a.l.i.ss.a.d.e,.p.a.l.i.s.a.d.°,(p-p.a-a.l-l.i-i.ss-s.a-a.d-d.e-°),.p.a.l.i.ss.a.de,.p.a.l.i.s.a.d,(p-p.a-a.l-l.i-i.ss-s.a-a.de-d),ade,ad,ade-ad,22,395,100,100,64.706,61.353,2542,86810,2145,64139,94.169,92.223,80.973,83.113,711,ss-s,121,de-d,74.122,i-i,21.022,ss-s,1317,78832.869,2676,74544.671,2962,168375.764,1317,78832.869,2716,72765.265,121,6315.962,100,100,92.225,89.631,100,100,100,100,82.054,81.783,56.542,72.874
palissades,palisad,NC,10,7,1.43,9,3,3.10977,3.75,.p.a.l.i.ss.a.d.e.s,.p.a.l.i.s.a.d.°.#,(p-p.a-a.l-l.i-i.ss-s.a-a.d-d.e-°.s-#),.p.a.l.i.ss.a.des,.p.a.l.i.s.a.d,(p-p.a-a.l-l.i-i.ss-s.a-a.des-d),ades,ad,ades-ad,11,239,100,100,32.353,37.198,2624,88350,2136,63442,94.715,92.723,76.901,75.065,711,ss-s,60,des-d,74.122,i-i,21.022,ss-s,1317,78832.869,2613,72280.306,4002,210357.889,1317,78832.869,2716,72765.265,60,1433.611,100,100,93.336,91.112,99.084,96.724,100,100,82.054,81.783,28.037,16.541
pâlit,pAli,VER,5,4,1.25,5,2,3.10977,2.4,.p.â.l.i.t,.p.A.l.i.#,(p-p.â-A.l-l.i-i.t-#),.p.â.l.it,.p.A.l.i,(p-p.â-A.l-l.it-i),it,i,it-i,80,4201,97.561,99.852,14.363,10.917,2079,74073,892,36263,93.652,93.961,57.499,55.128,60,â-A,59,â-A,74.122,i-i,15.84,it-i,1317,78832.869,2341,68325.091,2055,86557.658,1317,78832.869,1075,30390.385,99,5439.002,100,100,89.725,90.4,99.084,98.604,100,100,57.078,54.271,15.84,11.971
palmes,palm,NC,6,4,1.5,6,1,9.32932,1.9,.p.a.l.m.e.s,.p.a.l.m.°.#,(p-p.a-a.l-l.m-m.e-°.s-#),.p.a.l.mes,.p.a.l.m,(p-p.a-a.l-l.mes-m),almes,alm,almes-alm,2,12,100,100,66.667,23.529,2532,94309,1760,59586,98.362,96.858,79.025,76.585,1317,p-p,50,mes-m,91.562,a-a,23.474,mes-m,1317,78832.869,2468,69166.293,4002,210357.889,1317,78832.869,2836,78949.681,50,1610.864,100,100,97.772,96.107,99.084,96.724,100,100,96.314,97.274,23.474,11.791
palmiers,palmje,NC,8,6,1.33,7,2,15.54886,2.75,.p.a.l.m.i.er.s,.p.a.l.m.j.e.#,(p-p.a-a.l-l.m-m.i-j.er-e.s-#),.p.a.l.m.i.ers,.p.a.l.m.j.e,(p-p.a-a.l-l.m-m.i-j.ers-e),iers,je,iers-je,53,1611,96.364,97.004,14.441,21.968,2062,79078,1615,52357,87.809,86.782,80.26,80.92,68,er-e,68,ers-e,24.494,i-j,2.577,ers-e,1317,78832.869,1823,52870.695,4002,210357.889,1317,78832.869,2076,58377.669,68,1797.454,100,100,83.116,82.149,99.084,96.724,100,100,94.746,95.462,2.577,3.669
pâlot,pAlo,ADJ,5,4,1.25,5,2,3.10977,2.6,.p.â.l.o.t,.p.A.l.o.#,(p-p.â-A.l-l.o-o.t-#),.p.â.l.ot,.p.A.l.o,(p-p.â-A.l-l.ot-o),ot,o,ot-o,20,2715,100,100,7.782,10.542,1277,51767,873,35587,80.933,82.508,55.622,56.25,60,â-A,23,ot-o,10.53,o-o,8.333,ot-o,1317,78832.869,1005,31148.636,2055,86557.658,1317,78832.869,1075,30390.385,23,2733.491,100,100,68.527,71.313,99.084,98.604,100,100,57.078,54.271,8.333,16.458
pamplemousses,p@pl%mus,NC,13,8,1.63,10,3,3.10977,6.6,.p.am.p.l.e.m.ou.ss.e.s,.p.@.p.l.%.m.u.s.°.#,(p-p.am-@.p-p.l-l.e-%.m-m.ou-u.ss-s.e-°.s-#),.p.am.p.l.e.m.ou.sses,.p.@.p.l.%.m.u.s,(p-p.am-@.p-p.l-l.e-%.m-m.ou-u.sses-s),ousses,us,ousses-us,4,19,100,100,23.529,1.456,1547,59258,963,33689,90.214,89.71,71.826,71.55,55,am-@,32,sses-s,17.781,e-%,3.95,am-@,1317,78832.869,1268,37923.047,4002,210357.889,1317,78832.869,1059,31723.433,32,342.079,100,100,87.882,87.547,99.084,96.724,100,100,77.993,78.488,6.653,1.468
pan,p@,"NC,ONO",3,2,1.5,2,1,3.10977,1.65,.p.an,.p.@,(p-p.an-@),.p.an,.p.@,(p-p.an-@),an,@,an-@,29,1032,90.625,96.793,3.364,1.88,673,39898,673,39898,95.162,98.287,51.534,51.149,28,an-@,28,an-@,90.323,an-@,3.067,an-@,1317,78832.869,0,0,28,964.034,1317,78832.869,0,0,28,964.034,100,100,,,90.323,96.573,100,100,,,3.067,2.297
pancarte,p@kaRt,NC,8,6,1.33,7,2,3.10977,3.7,.p.an.c.a.r.t.e,.p.@.k.a.R.t.°,(p-p.an-@.c-k.a-a.r-R.t-t.e-°),.p.an.c.a.r.te,.p.@.k.a.R.t,(p-p.an-@.c-k.a-a.r-R.te-t),arte,aRt,arte-aRt,5,690,100,100,50,63.977,2846,103570,1987,63175,90.654,89.145,75.889,78.959,1020,an-@,358,te-t,59.224,c-k,42.118,te-t,1317,78832.869,3129,95555.594,2962,168375.764,1317,78832.869,2561,70344.14,358,18839.025,100,100,86.915,84.802,100,100,100,100,78.304,78.74,42.118,58.793
panda,p@dA,NC,5,4,1.25,4,2,3.10977,2.35,.p.an.d.a,.p.@.d.A,(p-p.an-@.d-d.a-A),.p.an.d.a,.p.@.d.A,(p-p.an-@.d-d.a-A),a,A,a-A,211,4027,92.952,10.64,66.144,29.075,946,38607,782,30198,97.024,76.544,77.877,67.948,227,a-A,227,a-A,91.903,a-A,44.539,an-@,1317,78832.869,1120,35736.09,227,4123.597,1317,78832.869,792,18916.847,227,4123.597,100,100,98.096,97.66,91.903,10.857,100,100,71.974,70.046,67.56,31.7
panées,pane,"VER,ADJ",6,4,1.5,6,2,3.10977,1.95,.p.a.n.é.e.s,.p.a.n.e.°.#,(p-p.a-a.n-n.é-e.e-°.s-#),.p.a.n.ées,.p.a.n.e,(p-p.a-a.n-n.ées-e),ées,e,ées-e,207,2590,100,100,9.358,4.555,2527,90944,1533,50925,98.417,96.798,72.224,71.101,1270,n-n,231,ées-e,91.562,a-a,8.753,ées-e,1317,78832.869,2460,64118.361,4002,210357.889,1317,78832.869,2293,60996.894,231,2873.463,100,100,97.854,96.016,99.084,96.724,100,100,90.072,89.269,8.753,5.866
panier,panje,NC,6,5,1.2,5,2,59.08566,1.9,.p.a.n.i.er,.p.a.n.j.e,(p-p.a-a.n-n.i-j.er-e),.p.a.n.i.er,.p.a.n.j.e,(p-p.a-a.n-n.i-j.er-e),ier,je,ier-je,115,3443,98.291,96.85,31.335,46.946,1678,57163,1625,53014,82.917,81.258,81.29,83.351,805,er-e,805,er-e,24.494,i-j,30.504,er-e,1317,78832.869,2089,62440.315,805,19660.067,1317,78832.869,2000,55526.251,805,19660.067,100,100,72.019,70.436,98.531,94.982,100,100,91.983,92.207,30.504,40.134
paniers,panje,NC,7,5,1.4,6,2,27.98795,2.3,.p.a.n.i.er.s,.p.a.n.j.e.#,(p-p.a-a.n-n.i-j.er-e.s-#),.p.a.n.i.ers,.p.a.n.j.e,(p-p.a-a.n-n.i-j.ers-e),iers,je,iers-je,53,1611,96.364,97.004,14.441,21.968,1942,79718,1477,49442,85.857,84.672,75.705,76.058,68,er-e,68,ers-e,24.494,i-j,2.577,ers-e,1317,78832.869,1584,47279.6,4002,210357.889,1317,78832.869,2000,55526.251,68,1797.454,100,100,79.014,77.827,99.084,96.724,100,100,91.983,92.207,2.577,3.669
panique,panik,"NC,VER",7,5,1.4,6,2,21.7684,2.35,.p.a.n.i.qu.e,.p.a.n.i.k.°,(p-p.a-a.n-n.i-i.qu-k.e-°),.p.a.n.i.que,.p.a.n.i.k,(p-p.a-a.n-n.i-i.que-k),ique,ik,ique-ik,108,4973,100,100,55.102,71.576,2323,88987,1969,61706,93.937,92.788,85.255,87.416,523,qu-k,155,que-k,74.122,i-i,49.206,que-k,1317,78832.869,2415,71678.975,2962,168375.764,1317,78832.869,2790,72676.746,155,11664.766,100,100,90.906,89.183,100,100,100,100,92.357,91.873,49.206,61.462
paniqué,panike,"VER,ADJ",7,6,1.17,6,3,3.10977,2.65,.p.a.n.i.qu.é,.p.a.n.i.k.e,(p-p.a-a.n-n.i-i.qu-k.é-e),.p.a.n.i.qu.é,.p.a.n.i.k.e,(p-p.a-a.n-n.i-i.qu-k.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,1947,63091,1775,52674,93.937,92.788,70.29,69.666,523,qu-k,260,qu-k,74.122,i-i,17.993,qu-k,1317,78832.869,2415,71678.975,704,12995.844,1317,78832.869,2158,56053.124,704,12995.844,100,100,90.906,89.183,100,100,100,100,73.766,72.867,26.677,26.53
paniques,panik,"NC,VER",8,5,1.6,7,2,3.10977,2.65,.p.a.n.i.qu.e.s,.p.a.n.i.k.°.#,(p-p.a-a.n-n.i-i.qu-k.e-°.s-#),.p.a.n.i.ques,.p.a.n.i.k,(p-p.a-a.n-n.i-i.ques-k),iques,ik,iques-ik,72,1474,100,100,36.735,21.218,2459,90657,1956,59824,94.673,93.351,81.255,77.503,523,qu-k,92,ques-k,74.122,i-i,29.206,ques-k,1317,78832.869,2379,69082.003,4002,210357.889,1317,78832.869,2790,72676.746,92,2257.707,100,100,92.725,91.346,99.084,96.724,100,100,92.357,91.873,29.206,11.896
panne,pan,NC,5,3,1.67,4,1,12.43909,1.9,.p.a.nn.e,.p.a.n.°,(p-p.a-a.nn-n.e-°),.p.a.nne,.p.a.n,(p-p.a-a.nne-n),anne,an,anne-an,2,28,100,100,10,7.317,2064,89411,1659,60250,97.891,96.247,72.597,70.652,394,nn-n,78,nne-n,91.562,a-a,18.097,nne-n,1317,78832.869,1988,55217.349,2962,168375.764,1317,78832.869,3581,98542.877,78,3374.113,100,100,95.781,92.494,100,100,100,100,99.694,99.441,18.097,12.514
panneau,pano,NC,7,4,1.75,4,2,6.21954,2.55,.p.a.nn.eau,.p.a.n.o,(p-p.a-a.nn-n.eau-o),.p.a.nn.eau,.p.a.n.o,(p-p.a-a.nn-n.eau-o),eau,o,eau-o,50,3719,100,100,19.455,14.443,1335,48046,1298,46623,97.891,96.247,59.25,59.477,49,eau-o,49,eau-o,91.562,a-a,17.754,eau-o,1317,78832.869,1988,55217.349,49,2916.973,1317,78832.869,1913,52370.342,49,2916.973,100,100,95.781,92.494,100,100,100,100,59.623,60.173,17.754,17.562
panneaux,pano,NC,8,4,2,5,2,34.20749,2.55,.p.a.nn.eau.x,.p.a.n.o.#,(p-p.a-a.nn-n.eau-o.x-#),.p.a.nn.eaux,.p.a.n.o,(p-p.a-a.nn-n.eaux-o),eaux,o,eaux-o,49,1356,100,100,19.066,5.265,1105,40643,1298,46226,97.766,96.605,59.159,57.09,53,eau-o,48,eaux-o,91.562,a-a,17.391,eaux-o,1317,78832.869,1343,37473.949,178,11960.206,1317,78832.869,1913,52370.342,48,1330.987,100,100,97.187,94.996,97.268,98.037,100,100,59.623,60.173,17.391,8.013
panoramas,panORamA,NC,9,8,1.13,9,4,3.10977,4.55,.p.a.n.o.r.a.m.a.s,.p.a.n.O.R.a.m.A.#,(p-p.a-a.n-n.o-O.r-R.a-a.m-m.a-A.s-#),.p.a.n.o.r.a.m.as,.p.a.n.O.R.a.m.A,(p-p.a-a.n-n.o-O.r-R.a-a.m-m.as-A),as,A,as-A,56,6963,86.154,98.461,17.555,50.269,2668,94395,2267,67319,86.618,85.078,85.315,88.577,324,a-A,57,as-A,8.284,a-A,16.964,as-A,1317,78832.869,2671,80052.517,4002,210357.889,1317,78832.869,2794,75616.006,57,6023.637,100,100,82.926,81.282,99.084,96.724,100,100,94.259,93.718,16.964,46.306
pantalon,p@tal§,NC,8,6,1.33,6,3,34.20749,3.45,.p.an.t.a.l.on,.p.@.t.a.l.§,(p-p.an-@.t-t.a-a.l-l.on-§),.p.an.t.a.l.on,.p.@.t.a.l.§,(p-p.an-@.t-t.a-a.l-l.on-§),on,§,on-§,127,17747,97.692,99.72,31.671,50.18,2126,71979,1843,59952,95.704,94.118,79.98,81.113,408,on-§,408,on-§,83.919,t-t,44.539,an-@,1317,78832.869,2758,82105.314,408,24620.095,1317,78832.869,2333,64065.478,408,24620.095,100,100,93.799,91.231,99.029,99.786,100,100,82.769,82.918,48.804,55.006
pantalons,p@tal§,NC,9,6,1.5,7,3,9.32932,3.3,.p.an.t.a.l.on.s,.p.@.t.a.l.§.#,(p-p.an-@.t-t.a-a.l-l.on-§.s-#),.p.an.t.a.l.ons,.p.@.t.a.l.§,(p-p.an-@.t-t.a-a.l-l.ons-§),ons,§,ons-§,178,3340,100,100,44.389,9.443,2478,92900,1830,57204,96.269,94.404,78.485,74.972,996,on-§,333,ons-§,83.919,t-t,39.833,ons-§,1317,78832.869,2405,72222.258,4002,210357.889,1317,78832.869,2333,64065.478,333,8128.987,100,100,94.959,92.82,99.084,96.724,100,100,82.769,82.918,39.833,18.162
panthère,p@tER,NC,8,5,1.6,6,2,3.10977,3.55,.p.an.th.è.r.e,.p.@.t.E.R.°,(p-p.an-@.th-t.è-E.r-R.e-°),.p.an.th.è.re,.p.@.t.E.R,(p-p.an-@.th-t.è-E.re-R),ère,ER,ère-ER,42,1881,100,100,14.737,15.625,1991,83869,568,28642,99.978,99.998,38.973,38.831,45,th-t,40,th-t,99.902,an-@,1.218,th-t,1317,78832.869,1917,64000.904,2962,168375.764,1317,78832.869,328,9550.151,537,35725.115,100,100,99.968,99.997,100,100,100,100,20.22,19.248,34.204,36.411
pantoufle,p@tufl,"NC,VER",9,6,1.5,7,2,6.21954,3.8,.p.an.t.ou.f.l.e,.p.@.t.u.f.l.°,(p-p.an-@.t-t.ou-u.f-f.l-l.e-°),.p.an.t.ou.f.le,.p.@.t.u.f.l,(p-p.an-@.t-t.ou-u.f-f.le-l),oufle,ufl,oufle-ufl,3,16,100,100,42.857,20.001,1872,76158,1096,39454,96.661,96.565,72.267,69.829,416,f-f,307,le-l,83.919,t-t,35.991,le-l,1317,78832.869,1766,57178.977,2962,168375.764,1317,78832.869,1238,36560.97,307,11646.13,100,100,95.326,95.191,100,100,100,100,74.403,74.046,35.991,22.791
